CITE008,Social Issues and Professional Practice,3,,3rdYrStanding,
CIT401,Systems Administration and Maintenance,2,3,CIT310,
CIT402,Intership in Computing,,6,Graduating,
ITELEC004,IT Elective 4,2,3,ITELEC003,
CIT403,Systems Integration and Architecture 2,2,3,"CIT307, CIT305, CIT401",
CAM401,"3D Modelling, Texturing, Rendering and Lighting",2,3,3rdYrStanding,
CAM402,3D Animation and Special Effects,2,3,CAM401,
CAM403,3D Post Production and Compositiong,2,3,CAM402,
CAM404,Mobile Development Integration,2,3,CAM403,
CBS401A,Network Security,2,3,3rdYrStanding,
CBS402A,Data and Application Security,2,3,CBS401A,
CBS403,Ethical Hacking and Penetration Testing,2,3,CBS402A,
CBS404A,Cyber Threat Analysis and Modelling,2,3,CBS403,
CIT401A,Fundamentals of Bus Analystics,2,3,3rdYrStanding,
CIT402A,"Analytics, Techniques and Tools",2,3,CIT401A,
CIT403A,Fundamentals of Predictive Analytics,2,3,CIT402A,
CIT404A,Fundamental of Prescriptive Analytics,2,3,CIT403A,
CIT503,Current Trends and Issues in Computing,3,,,
CIT504,SAP/ SAS,2,3,CIT309,
CIT505,Event Driven Programming,2,3,CITE004,
FLE213,Spanish,2,3,,
FLE313,Mandarin,2,3,,
CIT506,Introductiong to Game Development,2,3,CITE012,
CIT508,Object-Oriented Programming,2,3,CITE003,
CIT509,Human Computer Interaction 2,2,3,CITE012,
CIT510,Integrative Programming and Technologies 2,2,3,CIT301,
CIT511,Web Systems and Technologies 2,2,3,CIT202,
